,0
0,-255
1,-289
2,-328
3,-363
4,-387
5,-405
6,-405
7,-392
8,-373
9,-346
10,-335
11,-331
12,-327
13,-324
14,-321
15,-317
16,-313
17,-311
18,-309
19,-308
20,-307
21,-307
22,-308
23,-309
24,-310
25,-311
26,-314
27,-317
28,-320
29,-323
30,-327
31,-332
32,-340
33,-360
34,-380
35,-399
36,-416
37,-429
38,-438
39,-453
40,-473
41,-482
42,-486
43,-489
44,-491
45,-493
46,-494
47,-495
48,-495
49,-494
50,-492
51,-490
52,-486
53,-482
54,-478
55,-473
56,-470
57,-466
58,-463
59,-460
60,-456
61,-453
62,-451
63,-448
64,-446
65,-444
66,-442
67,-440
68,-438
69,-435
70,-432
71,-428
72,-419
73,-402
74,-385
75,-373
76,-366
77,-359
78,-355
79,-351
80,-348
81,-346
82,-343
83,-341
84,-338
85,-334
86,-327
87,-317
88,-310
89,-306
90,-303
91,-300
92,-298
93,-297
94,-295
95,-294
96,-293
97,-291
98,-290
99,-289
100,-289
101,-289
102,-289
103,-288
104,-287
105,-287
106,-287
107,-287
108,-287
109,-287
110,-286
111,-285
112,-284
113,-283
114,-282
115,-281
116,-281
117,-279
118,-278
119,-276
120,-274
121,-272
122,-269
123,-265
124,-261
125,-256
126,-251
127,-246
128,-241
129,-236
130,-231
131,-226
132,-222
133,-219
134,-216
135,-212
136,-209
137,-205
138,-201
139,-197
140,-193
141,-191
142,-189
143,-187
144,-184
145,-182
146,-180
147,-178
148,-175
149,-168
150,-160
151,-150
152,-141
153,-133
154,-127
155,-120
156,-114
157,-108
158,-103
159,-96
160,-87
161,-73
162,-57
163,-42
164,-26
165,-8
166,16
167,43
168,56
169,65
170,70
171,73
172,70
173,64
174,54
175,37
176,7
177,-18
178,-37
179,-54
180,-67
181,-77
182,-84
183,-91
184,-96
185,-101
186,-105
187,-110
188,-114
189,-117
190,-117
191,-115
192,-110
193,-101
194,-72
195,-11
196,86
197,212
198,356
199,510
200,663
201,799
202,907
203,967
204,972
205,935
206,839
207,709
208,556
209,400
210,256
211,134
212,37
213,-35
214,-88
215,-119
216,-137
217,-149
218,-155
219,-158
220,-158
221,-158
222,-159
223,-160
224,-160
225,-158
226,-149
227,-138
228,-134
229,-130
230,-127
231,-124
232,-122
233,-120
234,-118
235,-117
236,-116
237,-114
238,-111
239,-109
240,-108
241,-107
242,-106
243,-104
244,-103
245,-101
246,-98
247,-94
248,-85
249,-65
250,-42
251,-23
252,-8
253,3
254,11
255,18
256,24
257,30
258,35
259,40
260,46
261,53
262,61
263,70
264,82
265,91
266,98
267,104
268,110
269,114
270,115
271,112
272,103
273,93
274,82
275,68
276,55
277,43
278,34
279,27
280,22
281,18
282,12
283,7
284,2
285,-3
286,-9
287,-17
288,-28
289,-39
290,-49
291,-59
292,-65
293,-71
294,-76
295,-80
296,-83
297,-85
298,-84
299,-82
300,-79
301,-75
302,-72
303,-68
304,-64
305,-58
306,-51
307,-47
308,-46
309,-48
310,-51
311,-55
312,-58
313,-61
314,-63
315,-66
316,-68
317,-69
318,-70
319,-69
320,-67
321,-64
322,-61
323,-57
324,-54
325,-51
326,-50
327,-48
328,-48
329,-48
330,-48
331,-48
332,-48
333,-47
334,-47
335,-47
336,-47
337,-47
338,-46
339,-45
340,-45
341,-45
342,-45
343,-45
344,-44
345,-43
346,-41
347,-40
348,-38
349,-37
350,-34
351,-29
352,-25
353,-22
354,-21
355,-21
356,-22
357,-25
358,-28
359,-32
360,-39
361,-39
362,-30
363,-27
364,-25
365,-22
366,-20
367,-17
368,-15
369,-13
370,-12
371,-11
372,-10
373,-11
374,-12
375,-13
376,-15
377,-15
378,-15
379,-15
380,-15
381,-15
382,-15
383,-14
384,-13
385,-12
386,-12
387,-13
388,-14
389,-15
390,-16
391,-16
392,-17
393,-17
394,-17
395,-16
396,-13
397,-10
398,-7
399,-5
400,-2
401,0
402,2
403,5
404,8
405,12
406,17
407,22
408,26
409,31
410,35
411,40
412,46
413,52
414,57
415,64
416,72
417,81
418,87
419,92
420,97
421,102
422,105
423,107
424,107
425,105
426,102
427,97
428,91
429,85
430,77
431,68
432,58
433,50
434,42
435,33
436,20
437,3
438,-7
439,-14
440,-18
441,-22
442,-25
443,-25
444,-24
445,-21
446,-15
447,-5
448,26
449,109
450,223
451,364
452,521
453,687
454,842
455,964
456,1030
457,1053
458,1031
459,964
460,838
461,687
462,527
463,369
464,231
465,121
466,42
467,-8
468,-42
469,-63
470,-73
471,-81
472,-86
473,-88
474,-89
475,-89
476,-90
477,-90
478,-91
479,-91
480,-91
481,-92
482,-92
483,-92
484,-92
485,-92
486,-92
487,-91
488,-91
489,-90
490,-88
491,-86
492,-84
493,-82
494,-79
495,-76
496,-73
497,-69
498,-65
499,-60
500,-52
501,-42
502,-35
503,-28
504,-21
505,-14
506,-7
507,0
508,6
509,14
510,23
511,34
512,47
513,60
514,72
515,87
516,104
517,111
518,115
519,118
520,120
521,122
522,122
523,120
524,114
525,106
526,98
527,90
528,79
529,68
530,58
531,50
532,41
533,30
534,17
535,2
536,-13
537,-27
538,-40
539,-51
540,-61
541,-71
542,-76
543,-80
544,-83
545,-85
546,-87
547,-88
548,-88
549,-89
550,-91
551,-93
552,-95
553,-97
554,-99
555,-101
556,-103
557,-106
558,-108
559,-110
560,-112
561,-114
562,-116
563,-120
564,-125
565,-129
566,-131
567,-129
568,-127
569,-124
570,-122
571,-121
572,-121
573,-120
574,-119
575,-118
576,-117
577,-116
578,-116
579,-115
580,-114
581,-115
582,-115
583,-116
584,-117
585,-117
586,-118
587,-118
588,-118
589,-117
590,-116
591,-114
592,-113
593,-111
594,-110
595,-109
596,-108
597,-107
598,-106
599,-105
600,-104
601,-104
602,-103
603,-102
604,-100
605,-99
606,-97
607,-95
608,-93
609,-90
610,-88
611,-85
612,-82
613,-79
614,-76
615,-74
616,-72
617,-71
618,-70
619,-68
620,-66
621,-64
622,-61
623,-58
624,-57
625,-55
626,-53
627,-51
628,-49
629,-48
630,-48
