,0
0,-257
1,-309
2,-364
3,-420
4,-456
5,-469
6,-475
7,-475
8,-470
9,-464
10,-460
11,-456
12,-452
13,-449
14,-446
15,-444
16,-442
17,-441
18,-442
19,-443
20,-445
21,-450
22,-456
23,-463
24,-472
25,-511
26,-585
27,-687
28,-803
29,-917
30,-1014
31,-1062
32,-1078
33,-1057
34,-990
35,-867
36,-724
37,-580
38,-428
39,-287
40,-182
41,-135
42,-119
43,-135
44,-163
45,-198
46,-237
47,-274
48,-297
49,-311
50,-321
51,-330
52,-337
53,-341
54,-343
55,-344
56,-345
57,-346
58,-347
59,-348
60,-349
61,-349
62,-349
63,-350
64,-351
65,-352
66,-352
67,-353
68,-353
69,-354
70,-355
71,-356
72,-357
73,-358
74,-359
75,-361
76,-364
77,-366
78,-369
79,-372
80,-375
81,-380
82,-386
83,-393
84,-399
85,-402
86,-403
87,-404
88,-405
89,-406
90,-407
91,-408
92,-409
93,-409
94,-410
95,-410
96,-409
97,-406
98,-403
99,-398
100,-392
101,-386
102,-379
103,-371
104,-364
105,-358
106,-349
107,-334
108,-308
109,-286
110,-271
111,-256
112,-245
113,-237
114,-229
115,-219
116,-209
117,-198
118,-188
119,-178
120,-169
121,-160
122,-154
123,-150
124,-146
125,-143
126,-140
127,-137
128,-134
129,-131
130,-128
131,-124
132,-121
133,-117
134,-112
135,-108
136,-103
137,-98
138,-94
139,-91
140,-87
141,-84
142,-81
143,-79
144,-77
145,-76
146,-76
147,-75
148,-73
149,-70
150,-67
151,-64
152,-61
153,-57
154,-53
155,-48
156,-43
157,-38
158,-34
159,-31
160,-28
161,-24
162,-20
163,-17
164,-13
165,-10
166,-6
167,-3
168,0
169,2
170,4
171,5
172,7
173,8
174,9
175,10
176,10
177,10
178,11
179,11
180,12
181,14
182,16
183,18
184,20
185,23
186,26
187,33
188,41
189,45
190,48
191,51
192,53
193,55
194,58
195,59
196,61
197,62
198,62
199,62
200,60
201,56
202,50
203,44
204,36
205,29
206,20
207,6
208,-5
209,-12
210,-17
211,-21
212,-26
213,-30
214,-32
215,-30
216,-23
217,-14
218,-5
219,6
220,19
221,33
222,44
223,53
224,61
225,68
226,74
227,79
228,83
229,85
230,87
231,89
232,90
233,91
234,91
235,92
236,93
237,94
238,95
239,97
240,98
241,99
242,101
243,101
244,102
245,102
246,102
247,102
248,103
249,104
250,106
251,108
252,115
253,114
254,84
255,39
256,-33
257,-127
258,-239
259,-359
260,-468
261,-547
262,-573
263,-558
264,-513
265,-403
266,-269
267,-132
268,6
269,136
270,247
271,322
272,347
273,340
274,320
275,270
276,219
277,173
278,155
279,138
280,120
281,103
282,85
283,76
284,69
285,65
286,62
287,60
288,57
289,54
290,50
291,47
292,43
293,40
294,36
295,32
296,27
297,23
298,18
299,14
300,10
301,6
302,2
303,-1
304,-6
305,-10
306,-16
307,-22
308,-29
309,-37
310,-43
311,-50
312,-58
313,-66
314,-76
315,-87
316,-99
317,-108
318,-116
319,-122
320,-128
321,-132
322,-135
323,-138
324,-140
325,-142
326,-144
327,-146
328,-148
329,-149
330,-151
331,-151
332,-150
333,-146
334,-141
335,-135
336,-128
337,-121
338,-113
339,-105
340,-98
341,-91
342,-84
343,-75
344,-63
345,-48
346,-35
347,-25
348,-19
349,-14
350,-10
351,-6
352,-3
353,0
354,3
355,8
356,12
357,17
358,22
359,26
360,32
361,37
362,43
363,47
364,51
365,53
366,54
367,55
368,57
369,58
370,59
371,60
372,61
373,62
374,64
375,65
376,64
377,60
378,53
379,45
380,38
381,32
382,27
383,21
384,16
385,11
386,7
387,3
388,0
389,-2
390,-6
391,-8
392,-11
393,-13
394,-15
395,-16
396,-18
397,-19
398,-21
399,-23
400,-24
401,-26
402,-27
403,-28
404,-28
405,-28
406,-26
407,-24
408,-21
409,-17
410,-12
411,-7
412,-2
413,3
414,9
415,19
416,28
417,32
418,36
419,39
420,41
421,43
422,45
423,47
424,48
425,48
426,44
427,39
428,31
429,24
430,15
431,5
432,-5
433,-14
434,-21
435,-29
436,-39
437,-53
438,-73
439,-90
440,-103
441,-112
442,-117
443,-120
444,-123
445,-127
446,-130
