Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.616      154     +    0    0    0	(N
    0:45.552    11388     +    0    0    0	(AFIB
    9:12.608   138152     +    0    0    0	(N
   11:26.368   171592     +    0    0    0	(AFIB
   12:45.312   191328     +    0    0    0	(N
   16:51.144   252786     +    0    0    0	(AFIB
   21:31.632   322908     +    0    0    0	(N
   49:53.048   748262     +    0    0    0	(AFIB
   56:29.764   847441     +    0    0    0	(N
 8:42:09.092  7832273     +    0    0    0	(AFIB
 8:42:26.168  7836542     +    0    0    0	(N
 9:11:32.056  8273014     +    0    0    0	(AFIB
 9:12:47.420  8291855     +    0    0    0	(N
 9:13:50.628  8307657     +    0    0    0	(AFIB
 9:14:12.956  8313239     +    0    0    0	(N
