Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.704      176     +    0    0    0	(N
   37:06.708   556677     +    0    0    0	(AFIB
   38:43.884   580971     +    0    0    0	(N
   47:44.440   716110     +    0    0    0	(AFIB
   48:16.304   724076     +    0    0    0	(N
 2:23:13.892  2148473     +    0    0    0	(AFIB
 2:23:35.988  2153997     +    0    0    0	(N
 3:19:55.164  2998791     +    0    0    0	(AFIB
 3:20:12.712  3003178     +    0    0    0	(N
 4:02:35.688  3638922     +    0    0    0	(AFIB
 4:05:09.752  3677438     +    0    0    0	(N
 4:37:11.908  4157977     +    0    0    0	(AFIB
 4:37:31.976  4162994     +    0    0    0	(N
 8:32:06.964  7681741     +    0    0    0	(AFIB
 8:32:24.924  7686231     +    0    0    0	(N
