Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.248       62     +    0    0    0	(N
 1:13:10.040  1097510     +    0    0    0	(AFIB
 1:13:14.736  1098684     +    0    0    0	(N
 2:32:17.044  2284261     +    0    0    0	(AFIB
 2:32:22.688  2285672     +    0    0    0	(N
 2:34:38.344  2319586     +    0    0    0	(AFIB
 2:35:04.616  2326154     +    0    0    0	(N
 2:53:53.504  2608376     +    0    0    0	(AFIB
 6:19:44.460  5696115     +    0    0    0	(N
 6:20:22.084  5705521     +    0    0    0	(AFIB
 8:19:47.524  7496881     +    0    0    0	(N
