Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.120       30     +    0    0    0	(N
 3:14:05.148  2911287     +    0    0    0	(AFIB
 4:14:51.508  3822877     +    0    0    0	(J
 4:15:28.612  3832153     +    0    0    0	(AFIB
 4:40:06.668  4201667     +    0    0    0	(J
 4:40:15.980  4203995     +    0    0    0	(AFIB
 4:42:16.728  4234182     +    0    0    0	(N
 4:42:39.420  4239855     +    0    0    0	(AFIB
 4:46:24.516  4296129     +    0    0    0	(J
 4:46:41.092  4300273     +    0    0    0	(AFIB
 4:52:59.796  4394949     +    0    0    0	(J
 4:53:48.076  4407019     +    0    0    0	(AFIB
 4:53:54.876  4408719     +    0    0    0	(J
 4:54:24.800  4416200     +    0    0    0	(AFIB
 4:56:08.448  4442112     +    0    0    0	(J
