Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.148       37     +    0    0    0	(AFIB
   35:06.412   526603     +    0    0    0	(N
   35:36.940   534235     +    0    0    0	(AFIB
   37:05.216   556304     +    0    0    0	(N
   38:40.356   580089     +    0    0    0	(AFIB
 1:16:07.756  1141939     +    0    0    0	(AFL
 1:18:05.536  1171384     +    0    0    0	(AFIB
 1:22:30.844  1237711     +    0    0    0	(J
 1:22:32.920  1238230     +    0    0    0	(N
 1:24:03.652  1260913     +    0    0    0	(AFIB
 1:24:38.624  1269656     +    0    0    0	(N
 1:25:17.176  1279294     +    0    0    0	(AFIB
 1:27:04.288  1306072     +    0    0    0	(N
 1:28:04.292  1321073     +    0    0    0	(AFIB
 2:04:06.928  1861732     +    0    0    0	(J
 2:05:32.944  1883236     +    0    0    0	(AFIB
 2:05:37.104  1884276     +    0    0    0	(N
 2:10:33.360  1958340     +    0    0    0	(AFIB
 2:11:16.036  1969009     +    0    0    0	(N
 2:11:33.488  1973372     +    0    0    0	(AFIB
 2:12:12.644  1983161     +    0    0    0	(N
 2:12:39.512  1989878     +    0    0    0	(AFIB
 2:15:00.588  2025147     +    0    0    0	(N
 2:15:51.424  2037856     +    0    0    0	(AFIB
 2:34:04.472  2311118     +    0    0    0	(N
 2:35:02.400  2325600     +    0    0    0	(AFIB
 2:35:56.508  2339127     +    0    0    0	(N
 2:36:45.516  2351379     +    0    0    0	(AFIB
 2:37:05.256  2356314     +    0    0    0	(N
 2:38:25.796  2376449     +    0    0    0	(AFIB
 2:39:39.796  2394949     +    0    0    0	(N
 2:40:13.708  2403427     +    0    0    0	(AFIB
 2:41:28.944  2422236     +    0    0    0	(N
 2:42:26.448  2436612     +    0    0    0	(AFIB
 2:53:02.264  2595566     +    0    0    0	(N
 2:54:13.064  2613266     +    0    0    0	(AFIB
 3:07:15.368  2808842     +    0    0    0	(N
 3:08:45.340  2831335     +    0    0    0	(AFIB
 3:22:45.620  3041405     +    0    0    0	(N
 3:23:39.444  3054861     +    0    0    0	(AFIB
 3:33:55.988  3208997     +    0    0    0	(N
 3:34:35.788  3218947     +    0    0    0	(AFIB
 4:31:10.556  4067639     +    0    0    0	(J
 4:31:12.900  4068225     +    0    0    0	(N
 4:31:30.220  4072555     +    0    0    0	(AFIB
 4:33:10.664  4097666     +    0    0    0	(J
 4:33:12.188  4098047     +    0    0    0	(N
 4:33:54.652  4108663     +    0    0    0	(AFIB
 4:47:11.092  4307773     +    0    0    0	(N
 4:47:49.056  4317264     +    0    0    0	(AFIB
 6:49:34.412  6143603     +    0    0    0	(J
 6:49:36.836  6144209     +    0    0    0	(N
 6:51:35.292  6173823     +    0    0    0	(AFIB
 6:51:54.116  6178529     +    0    0    0	(N
 6:52:35.448  6188862     +    0    0    0	(AFIB
